well,variant_name,replicate,is_wt,avgfp_raw,mcherry_raw,avgfp_corrected,mcherry_corrected,activity_ratio,log_activity,low_expression,hit_floor
A10,10,1,False,16900.0,9803.0,2945.0,100.575,29.281630623912502,3.376960378249835,False,True
A10,10,2,False,17365.0,9619.0,3410.0,100.575,33.905045985582895,3.5235638524417103,False,True
A11,11,1,False,14745.0,9064.0,790.0,100.575,7.854834700472284,2.0611292276252153,False,True
A11,11,2,False,17228.0,10515.0,3273.0,457.5,7.154098360655738,1.9676853897856046,False,False
A12,12,1,False,12395.0,10223.0,100.575,165.5,0.6077039274924472,-0.49806747698126563,False,True
A12,12,2,False,16566.0,10080.0,2611.0,100.575,25.960725826497637,3.256584850863277,False,True
B1,13,1,False,16721.0,12813.0,2766.0,2755.5,1.0038105606967882,0.0038033189014134456,False,False
B1,13,2,False,15765.0,10697.0,1810.0,639.5,2.8303362001563723,1.0403955032409742,False,False
B2,14,1,False,10790.0,6424.0,100.575,100.575,1.0,0.0,False,True
B2,14,2,False,16205.0,9527.0,2250.0,100.575,22.371364653243848,3.107781777362614,False,True
B3,15,1,False,18038.0,13098.0,4083.0,3040.5,1.3428712382831771,0.29481003675941136,False,False
B3,15,2,False,12399.0,9699.0,100.575,100.575,1.0,0.0,False,True
B4,16,1,False,17528.0,11694.0,3573.0,1636.5,2.1833180568285977,0.7808457640821747,False,False
B4,16,2,False,17295.0,10951.0,3340.0,893.5,3.7381085618354786,1.3185797513712634,False,False
B5,17,1,False,17104.0,11074.0,3149.0,1016.5,3.0978848991637973,1.1307195880326233,False,False
B5,17,2,False,12655.0,9462.0,100.575,100.575,1.0,0.0,False,True
B6,18,1,False,17317.0,9617.0,3362.0,100.575,33.427790206313695,3.509387596132709,False,True
B6,18,2,False,16757.0,11183.0,2802.0,1125.5,2.489560195468681,0.9121060665501655,False,False
B7,19,1,False,17173.0,10851.0,3218.0,793.5,4.055450535601764,1.4000617875858647,False,False
B7,19,2,False,16061.0,11405.0,2106.0,1347.5,1.5628942486085344,0.44653938991076864,False,False
A2,2,1,False,18400.0,12896.0,4445.0,2838.5,1.56596794081381,0.448504125337224,False,False
A2,2,2,False,16568.0,10625.0,2613.0,567.5,4.604405286343613,1.5270135161650549,False,False
B8,20,1,False,15789.0,10907.0,1834.0,849.5,2.1589170100058857,0.7696067117044234,False,False
B8,20,2,False,10864.0,8575.0,100.575,100.575,1.0,0.0,False,True
B9,21,1,False,17854.0,9222.0,3899.0,100.575,38.76708923688789,3.657571671146745,False,True
B9,21,2,False,13706.0,9466.0,100.575,100.575,1.0,0.0,False,True
B10,22,1,False,17521.0,9748.0,3566.0,100.575,35.4561272682078,3.568296080587234,False,True
B10,22,2,False,16105.0,10118.0,2150.0,100.575,21.377081779766343,3.0623194032858567,False,True
B11,23,1,False,13243.0,8467.0,100.575,100.575,1.0,0.0,False,True
B11,23,2,False,16370.0,10882.0,2415.0,824.5,2.929047907822923,1.0746774240870194,False,False
B12,24,1,False,13898.0,10843.0,100.575,785.5,0.12803946530872057,-2.0554167398598238,False,True
B12,24,2,False,16322.0,9101.0,2367.0,100.575,23.534675615212528,3.1584748916781322,False,True
C1,25,1,False,14194.0,8871.0,239.0,100.575,2.3763360676112355,0.8655598340956588,False,True
C1,25,2,False,16916.0,11723.0,2961.0,1665.5,1.7778444911438007,0.575401670467857,False,False
C2,26,1,False,14643.0,7471.0,688.0,100.575,6.84066616952523,1.9228851200974917,False,True
C2,26,2,False,17047.0,10579.0,3092.0,521.5,5.929050814956855,1.7798641352664855,False,False
C3,27,1,False,17985.0,11535.0,4030.0,1477.5,2.727580372250423,1.0034149056604753,False,False
C3,27,2,False,12276.0,8996.0,100.575,100.575,1.0,0.0,False,True
C4,28,1,False,16514.0,9905.0,2559.0,100.575,25.443698732289334,3.2364681183239368,False,True
