variant,mean_ratio,sem_ratio,fold_change,fold_sem,n_replicates,n_excluded,p_value,exclusion_reason,q_value,significant_fdr,significant
11,7.1541,0.0,3.52,,1,1,,,,False,False
26,5.9291,0.0,2.917,,1,1,,,,False,False
35,4.8212,2.0805,2.372,1.06,2,0,,,,False,False
45,4.5759,0.0,2.251,,1,1,,,,False,False
32,3.1892,0.0,1.569,,1,1,,,,False,False
17,3.0979,0.0,1.524,,1,1,,,,False,False
2,3.0852,1.5192,1.518,0.768,2,0,,,,False,False
16,2.9607,0.7774,1.457,0.418,2,0,,,,False,False
23,2.929,0.0,1.441,,1,1,,,,False,False
19,2.8092,1.2463,1.382,0.634,2,0,,,,False,False
27,2.7276,0.0,1.342,,1,1,,,,False,False
9,2.6204,0.0,1.289,,1,1,,,,False,False
18,2.4896,0.0,1.225,,1,1,,,,False,False
43,2.368,0.0,1.165,,1,1,,,,False,False
3,2.2308,0.2308,1.098,0.17,2,0,,,,False,False
20,2.1589,0.0,1.062,,1,1,,,,False,False
4,2.0585,0.4064,1.013,0.232,2,0,,,,False,False
13,1.9171,0.9133,0.943,0.462,2,0,,,,False,False
34,1.8235,0.0,0.897,,1,1,,,,False,False
25,1.7778,0.0,0.875,,1,1,,,,False,False
6,1.7722,0.0,0.872,,1,1,,,,False,False
38,1.6825,0.0,0.828,,1,1,,,,False,False
46,1.6019,0.4305,0.788,0.231,2,0,,,,False,False
7,1.5046,0.7243,0.74,0.367,2,0,,,,False,False
42,1.4291,0.0,0.703,,1,1,,,,False,False
8,1.3763,0.0,0.677,,1,1,,,,False,False
15,1.3429,0.0,0.661,,1,1,,,,False,False
29,1.1776,0.0,0.579,,1,1,,,,False,False
33,1.1523,0.5676,0.567,0.287,2,0,,,,False,False
44,1.055,0.0,0.519,,1,1,,,,False,False
37,0.9584,0.0,0.472,,1,1,,,,False,False
36,0.6364,0.0,0.313,,1,1,,,,False,False
41,0.5955,0.0,0.293,,1,1,,,,False,False
5,,,,,0,2,,low_expression_or_floor,,False,False
10,,,,,0,2,,low_expression_or_floor,,False,False
12,,,,,0,2,,low_expression_or_floor,,False,False
14,,,,,0,2,,low_expression_or_floor,,False,False
21,,,,,0,2,,low_expression_or_floor,,False,False
22,,,,,0,2,,low_expression_or_floor,,False,False
24,,,,,0,2,,low_expression_or_floor,,False,False
28,,,,,0,2,,low_expression_or_floor,,False,False
30,,,,,0,2,,low_expression_or_floor,,False,False
31,,,,,0,2,,low_expression_or_floor,,False,False
39,,,,,0,2,,low_expression_or_floor,,False,False
40,,,,,0,2,,low_expression_or_floor,,False,False
