variant,alpha,alpha_se,relative_activity,fold_change,n_replicates,n_excluded,sem,exclusion_reason,p_value,significant,q_value,significant_fdr
7,0.6493183863830304,0.02786746069983069,4.3156397545341525,4.316,2,0,0.226,,0.0023,True,0.0093,True
9,0.43900719149525647,0.013261695968145028,2.917824179747932,2.918,2,0,0.124,,0.0016,True,0.0093,True
4,0.215040845431216,0.011944275006709193,1.4292507972262212,1.429,2,0,0.09,,0.0517,False,0.1662,False
14,0.20189701069395136,0.014515936516742028,1.3418914109702083,1.342,2,0,0.105,,0.114,False,0.3421,False
24,0.07755015186596502,0.0017570225433870394,0.5154305274292572,0.515,2,0,0.019,,0.0044,True,0.0165,True
15,0.05492893339968043,0.0012530987009052327,0.3650805115411944,0.365,2,0,0.014,,0.002,True,0.0093,True
3,0.04814520398426164,0.003618961407911878,0.3199930275531557,0.32,2,0,0.026,,0.0216,True,0.0748,False
25,0.04725353326152014,0.0009912434234044683,0.31406661348616294,0.314,2,0,0.012,,0.0018,True,0.0093,True
10,0.028736687803869503,0.0005853528851864278,0.19099596577087946,0.191,2,0,0.007,,0.001,True,0.0093,True
11,0.023440361620534218,0.000882104865768374,0.15579438160335735,0.156,2,0,0.008,,0.0009,True,0.0093,True
13,0.022552674995434323,0.001082902015570586,0.14989444750447983,0.15,2,0,0.008,,0.0023,True,0.0093,True
2,0.022394695548198836,0.0005919429374387575,0.1488444504657596,0.149,2,0,0.006,,0.0005,True,0.0093,True
12,0.022221189817093537,0.0010142393006335793,0.14769125929406246,0.148,2,0,0.008,,0.0018,True,0.0093,True
8,0.020820342290871475,0.0007430511273538513,0.13838064465417682,0.138,2,0,0.006,,0.0007,True,0.0093,True
5,0.019142144433671716,0.0004954536177173204,0.1272266444897136,0.127,2,0,0.005,,0.0004,True,0.0093,True
6,,,,,0,2,,low_expression,,False,1.0,False
16,,,,,0,2,,low_expression,,False,1.0,False
17,,,,,0,2,,low_expression,,False,1.0,False
18,,,,,0,2,,low_expression,,False,1.0,False
19,,,,,0,2,,low_expression,,False,1.0,False
20,,,,,0,2,,low_expression,,False,1.0,False
21,,,,,0,2,,low_expression,,False,1.0,False
22,,,,,0,2,,low_expression,,False,1.0,False
23,,,,,0,2,,low_expression,,False,1.0,False
26,,,,,0,2,,low_expression,,False,1.0,False
27,,,,,0,2,,low_expression,,False,1.0,False
28,,,,,0,2,,low_expression,,False,1.0,False
29,,,,,0,2,,low_expression,,False,1.0,False
30,,,,,0,2,,low_expression,,False,1.0,False
31,,,,,0,2,,low_expression,,False,1.0,False
32,,,,,0,2,,low_expression,,False,1.0,False
33,,,,,0,2,,low_expression,,False,1.0,False
34,,,,,0,2,,low_expression,,False,1.0,False
35,,,,,0,2,,low_expression,,False,1.0,False
36,,,,,0,2,,low_expression,,False,1.0,False
37,,,,,0,2,,low_expression,,False,1.0,False
38,,,,,0,2,,low_expression,,False,1.0,False
39,,,,,0,2,,low_expression,,False,1.0,False
40,,,,,0,2,,low_expression,,False,1.0,False
41,,,,,0,2,,low_expression,,False,1.0,False
42,,,,,0,2,,low_expression,,False,1.0,False
43,,,,,0,2,,low_expression,,False,1.0,False
44,,,,,0,2,,low_expression,,False,1.0,False
45,,,,,0,2,,low_expression,,False,1.0,False
46,,,,,0,2,,low_expression,,False,1.0,False
